name,region,country,lat,lon,tz_id,localtime_epoch,localtime,date,date_epoch,day_maxtemp_c,day_maxtemp_f,day_mintemp_c,day_mintemp_f,day_avgtemp_c,day_avgtemp_f,day_maxwind_mph,day_maxwind_kph,day_totalprecip_mm,day_totalprecip_in,day_totalsnow_cm,day_avgvis_km,day_avgvis_miles,day_avghumidity,day_daily_will_it_rain,day_daily_chance_of_rain,day_daily_will_it_snow,day_daily_chance_of_snow,day_condition,day_uv,astro_sunrise,astro_sunset,astro_moonrise,astro_moonset,astro_moon_phase,astro_moon_illumination,astro_is_moon_up,astro_is_sun_up,date_dt
Meerut,Uttar Pradesh,India,28.9833,77.7,Asia/Kolkata,1782620078,2026-06-28 09:44,2026-06-28,1782604800,44.5,112.0,33.5,92.3,38.6,101.4,9.2,14.8,0.29,0.01,0.0,5.0,3.0,26,0,17,0,0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.8,05:23 AM,07:21 PM,06:35 PM,03:46 AM,Full Moon,100,0,1,2026-06-28
Meerut,Uttar Pradesh,India,28.9833,77.7,Asia/Kolkata,1782620078,2026-06-28 09:44,2026-06-29,1782691200,44.3,111.7,34.3,93.8,38.9,102.0,18.3,29.5,3.55,0.14,0.0,5.7,3.0,28,0,57,0,0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",8.8,05:23 AM,07:21 PM,07:25 PM,04:38 AM,Full Moon,100,0,1,2026-06-29
Meerut,Uttar Pradesh,India,28.9833,77.7,Asia/Kolkata,1782620078,2026-06-28 09:44,2026-06-30,1782777600,44.3,111.7,33.4,92.2,39.1,102.3,17.2,27.7,0.51,0.02,0.0,6.4,3.0,29,0,36,0,0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.1,05:23 AM,07:21 PM,08:10 PM,05:33 AM,Full Moon,98,0,1,2026-06-30
Delhi,Ontario,Canada,42.85,-80.5,America/Toronto,1782620079,2026-06-28 00:14,2026-06-28,1782604800,24.6,76.3,16.2,61.2,20.4,68.7,12.8,20.5,0.0,0.0,0.0,10.0,6.0,76,0,8,0,0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",8.8,05:45 AM,09:04 PM,08:52 PM,04:20 AM,Full Moon,100,1,0,2026-06-28
Delhi,Ontario,Canada,42.85,-80.5,America/Toronto,1782620079,2026-06-28 00:14,2026-06-29,1782691200,26.3,79.4,16.5,61.7,21.4,70.6,9.4,15.1,0.0,0.0,0.0,10.0,6.0,79,0,9,0,0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",9.6,05:46 AM,09:04 PM,09:37 PM,05:14 AM,Full Moon,100,1,0,2026-06-29
Delhi,Ontario,Canada,42.85,-80.5,America/Toronto,1782620079,2026-06-28 00:14,2026-06-30,1782777600,28.0,82.4,21.3,70.3,24.8,76.6,17.2,27.7,0.01,0.0,0.0,10.0,6.0,83,0,13,0,0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",9.4,05:46 AM,09:04 PM,10:13 PM,06:14 AM,Full Moon,98,1,0,2026-06-30
Noida,Uttar Pradesh,India,28.57,77.32,Asia/Kolkata,1782620080,2026-06-28 09:44,2026-06-28,1782604800,44.6,112.2,36.0,96.9,40.1,104.2,10.3,16.6,0.05,0.0,0.0,3.6,2.0,25,0,17,0,0,"{'text': 'Sandstorm', 'icon': '//cdn.weatherapi.com/weather/64x64/day/137.png', 'code': 1024}",8.7,05:25 AM,07:22 PM,06:35 PM,03:49 AM,Full Moon,100,0,1,2026-06-28
Noida,Uttar Pradesh,India,28.57,77.32,Asia/Kolkata,1782620080,2026-06-28 09:44,2026-06-29,1782691200,45.0,112.9,36.4,97.5,39.8,103.7,17.4,28.1,0.91,0.04,0.0,3.1,1.0,27,0,36,0,0,"{'text': 'Sandstorm', 'icon': '//cdn.weatherapi.com/weather/64x64/day/137.png', 'code': 1024}",9.6,05:25 AM,07:22 PM,07:26 PM,04:41 AM,Full Moon,100,0,1,2026-06-29
Noida,Uttar Pradesh,India,28.57,77.32,Asia/Kolkata,1782620080,2026-06-28 09:44,2026-06-30,1782777600,43.9,111.0,34.6,94.3,40.0,104.1,14.3,23.0,2.18,0.09,0.0,2.4,1.0,26,0,57,0,0,"{'text': 'Severe sandstorm', 'icon': '//cdn.weatherapi.com/weather/64x64/day/140.png', 'code': 1027}",10.2,05:26 AM,07:22 PM,08:11 PM,05:36 AM,Full Moon,98,0,1,2026-06-30
Gurgaon,Haryana,India,28.4667,77.0333,Asia/Kolkata,1782620080,2026-06-28 09:44,2026-06-28,1782604800,44.0,111.3,35.3,95.5,39.5,103.2,8.9,14.4,0.3,0.01,0.0,3.6,2.0,27,0,36,0,0,"{'text': 'Sandstorm', 'icon': '//cdn.weatherapi.com/weather/64x64/day/137.png', 'code': 1024}",9.1,05:27 AM,07:23 PM,06:36 PM,03:50 AM,Full Moon,100,0,1,2026-06-28
Gurgaon,Haryana,India,28.4667,77.0333,Asia/Kolkata,1782620080,2026-06-28 09:44,2026-06-29,1782691200,44.3,111.7,34.1,93.4,39.1,102.4,16.3,26.3,1.63,0.06,0.0,3.1,1.0,29,0,57,0,0,"{'text': 'Sandstorm', 'icon': '//cdn.weatherapi.com/weather/64x64/day/137.png', 'code': 1024}",9.9,05:27 AM,07:23 PM,07:27 PM,04:42 AM,Full Moon,100,0,1,2026-06-29
Gurgaon,Haryana,India,28.4667,77.0333,Asia/Kolkata,1782620080,2026-06-28 09:44,2026-06-30,1782777600,43.6,110.4,34.7,94.4,39.6,103.3,14.5,23.4,2.28,0.09,0.0,2.4,1.0,27,0,57,0,0,"{'text': 'Severe sandstorm', 'icon': '//cdn.weatherapi.com/weather/64x64/day/140.png', 'code': 1027}",10.3,05:27 AM,07:23 PM,08:12 PM,05:38 AM,Full Moon,98,0,1,2026-06-30
Faridabad,Haryana,India,28.4333,77.3167,Asia/Kolkata,1782620081,2026-06-28 09:44,2026-06-28,1782604800,43.9,111.1,35.7,96.3,39.8,103.6,12.3,19.8,0.16,0.01,0.0,3.6,2.0,26,0,17,0,0,"{'text': 'Sandstorm', 'icon': '//cdn.weatherapi.com/weather/64x64/day/137.png', 'code': 1024}",8.7,05:25 AM,07:22 PM,06:35 PM,03:49 AM,Full Moon,100,0,1,2026-06-28
Faridabad,Haryana,India,28.4333,77.3167,Asia/Kolkata,1782620081,2026-06-28 09:44,2026-06-29,1782691200,45.1,113.2,34.9,94.9,39.2,102.5,17.7,28.4,1.57,0.06,0.0,3.1,1.0,29,0,57,0,0,"{'text': 'Sandstorm', 'icon': '//cdn.weatherapi.com/weather/64x64/day/137.png', 'code': 1024}",9.7,05:26 AM,07:22 PM,07:25 PM,04:41 AM,Full Moon,100,0,1,2026-06-29
Faridabad,Haryana,India,28.4333,77.3167,Asia/Kolkata,1782620081,2026-06-28 09:44,2026-06-30,1782777600,43.9,111.0,34.1,93.4,39.8,103.6,14.5,23.4,3.17,0.12,0.0,2.4,1.0,27,0,57,0,0,"{'text': 'Severe sandstorm', 'icon': '//cdn.weatherapi.com/weather/64x64/day/140.png', 'code': 1027}",10.3,05:26 AM,07:22 PM,08:10 PM,05:36 AM,Full Moon,98,0,1,2026-06-30
Mumbai,Maharashtra,India,18.975,72.826,Asia/Kolkata,1782620082,2026-06-28 09:44,2026-06-28,1782604800,29.9,85.7,28.1,82.5,28.9,83.9,18.1,29.2,23.82,0.94,0.0,9.8,6.0,76,1,81,0,0,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/353.png', 'code': 1240}",12.0,06:04 AM,07:19 PM,06:28 PM,04:33 AM,Full Moon,100,0,1,2026-06-28
Mumbai,Maharashtra,India,18.975,72.826,Asia/Kolkata,1782620082,2026-06-28 09:44,2026-06-29,1782691200,28.5,83.2,26.1,78.9,27.2,81.0,17.9,28.8,37.73,1.49,0.0,9.4,5.0,84,1,86,0,0,"{'text': 'Light rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/353.png', 'code': 1240}",1.6,06:04 AM,07:20 PM,07:19 PM,05:26 AM,Full Moon,100,0,1,2026-06-29
